,f0,f1,f2,,f0,f1,f2
0,9763283822,328015575.7,2204187694,,9.888374389,0.56119457,3.545644947
1,12408227285,396778989.1,4512584962,,,,
2,12223724999,829210186.2,4519307980,,,,
3,10287266195,836151404,3615645573,,,,
4,10858509963,677561116.1,4115911605,,,,
5,9125479897,630031988.5,3205246532,,,,
6,8484137136,635221335.7,2691926536,,,,
7,8909171313,623676758.9,3235241166,,,,
8,7812863216,512076786.2,2688890213,,,,
9,8761183680,618418172.5,2943856504,,,,
10,9470187615,279838533.2,3069336133,,,,
11,9148778943,548109426.1,2597121155,,,,
12,10720772473,533057124.1,4111316417,,,,
13,9356517821,567137752.9,2976819598,,,,
14,10267220920,921684972.5,4189854217,,,,
15,8430791261,545693008.2,2507820357,,,,
16,9947079724,232709778.6,3342042051,,,,
17,9326332530,595745663,2949452365,,,,
18,9477045784,462579244.2,3515181025,,,,
19,9647316198,511946457,3422010996,,,,
20,9025544358,483994265.2,3196029265,,,,
21,9013726230,52642003.01,2721872895,,,,
22,12959866793,675859669.4,6737207945,,,,
23,8877316561,371758867.6,3131391295,,,,
24,11472288662,768276735.6,4799979381,,,,
25,10285709457,505654086.7,3768485975,,,,
26,9784330586,706452606.2,3280320077,,,,
27,8043983927,257213469.9,2860142515,,,,
28,8677300296,413232468.5,2751648926,,,,
29,9452718599,347867397.4,3609089414,,,,
30,10936260007,550074171.7,4064261216,,,,
31,9432865510,251216298.2,3148490033,,,,
32,9108039545,227151843.6,2816290803,,,,
33,9351896543,309596601.2,2610900789,,,,
34,9514082400,654499128,2971682805,,,,
35,7990599584,331438692.1,2489315374,,,,
36,8074236339,350187308.2,2645505619,,,,
37,10768660669,993242336.7,3954079802,,,,
38,9695998292,446602269.1,2972292082,,,,
39,11322620621,589772353.3,3924765659,,,,
40,9911476693,402476304.4,3931916463,,,,
41,9257040881,739183454.1,3226326461,,,,
42,10965587209,785626820.3,4668697612,,,,
43,12299045455,1610360968,5054727120,,,,
44,9853073577,1049547878,3720193855,,,,
45,12093680213,883365768.4,4603857178,,,,
46,14749106426,1253829177,7835621850,,,,
47,8759782519,686742213.4,3055283345,,,,
48,8312376219,373447662.9,3074229200,,,,
49,8576283679,678051252.5,2638081118,,,,
50,8948536352,374018603.7,3074842550,,,,
51,10603159584,472372931.5,4148156491,,,,
52,9189689926,195181547.7,3415994207,,,,
53,10287263810,470713252.7,4264311540,,,,
54,8925540087,745974985.3,3166039720,,,,
55,9989469757,399529719.6,3773874950,,,,
56,11552374446,680312696.4,5324033911,,,,
57,11573810301,639909430.5,3972251027,,,,
58,8910084091,542247632.9,3294715517,,,,
59,9763390783,457771044.7,3884721390,,,,
60,11381768813,94758518.16,3805159461,,,,
61,9018281995,576291375.1,3074728623,,,,
62,9204113902,638976675.4,3116034141,,,,
63,10360945828,747568774.4,4154662435,,,,
64,9730657516,372931360.8,3568859107,,,,
65,9200265379,737508825.5,3476188497,,,,
66,8501694181,335364618.2,2813249161,,,,
67,9453251326,481029195.4,2511850371,,,,
68,8429211616,428369704,2761200749,,,,
69,12360325848,919456068.2,5687775649,,,,
70,10178418885,363135415.5,3530973997,,,,
71,8680700126,416002867.6,3083969975,,,,
72,9025513129,277938402.1,2670258481,,,,
73,10040229728,639802162.3,3513484194,,,,
74,9601208258,643665830.8,2803991087,,,,
75,9498748310,537545970.8,2923551678,,,,
76,10689401119,819014916.9,3645522677,,,,
77,10725368594,480185300.7,3580620479,,,,
78,8975564667,517236115.1,2787597257,,,,
79,9962270393,410378694,3654473790,,,,
80,9853671408,569336163.6,2812725288,,,,
81,8809746168,287040335.8,2635690206,,,,
82,8370283954,408518936.3,3205589844,,,,
83,11765581202,862404158.6,5102322633,,,,
84,8938422719,381541724.1,2844234059,,,,
85,14857738955,947371785.6,6661045003,,,,
86,11299746338,711734688.8,4796976586,,,,
87,8905419986,234503439.8,3007221080,,,,
88,8798047733,334580156.9,2878005693,,,,
89,9628406176,633521345.4,3268460396,,,,
90,9494951694,583870508.4,3416497396,,,,
91,9843871665,815477253.3,3938225455,,,,
92,8872013715,674345090.3,3213468353,,,,
93,9847565467,883448919.1,3299421914,,,,
94,10584900042,560934885.9,4488961053,,,,
95,10284431843,324851069.1,2866519940,,,,
96,10202806630,550093359.3,3774638235,,,,
97,8947378658,488767939,3199595730,,,,
98,13092542052,1128846328,4174574408,,,,
99,8687265101,288067947.5,2820789174,,,,
