,f0,f1,f2,,,f0,f1,f2
0,12985471497,803714897,5524990745,,,10.02838555,0.652480632,3.716834312
1,9696306615,549116556.3,3188082719,,,,,
2,9595634529,320754660.6,2849773281,,,,,
3,9289803724,287025323.3,3191128762,,,,,
4,10273218369,539403227.8,3880213766,,,,,
5,8821005725,237591950.9,2684331450,,,,,
6,9537230688,423654674.3,2694694081,,,,,
7,11321221018,1071365591,4604252528,,,,,
8,9322597899,671622489,3365632215,,,,,
9,9267564545,457834896.7,3221801018,,,,,
10,8692631677,464352077.4,2883698030,,,,,
11,9466202381,610477029.9,3597523943,,,,,
12,9825617064,186351351.3,3212233109,,,,,
13,8424718186,426411613.8,2409307630,,,,,
14,8396834115,629060118.6,3100286931,,,,,
15,8624964819,355636145.6,2496529053,,,,,
16,9623093322,491853142.5,3278180425,,,,,
17,8476705740,575110249.5,3077021643,,,,,
18,9546121136,554483155.4,3246392029,,,,,
19,9858215646,49230295.81,3450854116,,,,,
20,9083495028,483550619.5,2754391647,,,,,
21,10404289740,47571226.06,3572116481,,,,,
22,10377222242,480634642.6,3742053268,,,,,
23,9043566282,601854833.9,3215187126,,,,,
24,10371310606,767168571.6,3873130065,,,,,
25,14486783088,1290169120,6810406860,,,,,
26,10328425308,608950740.8,3276263123,,,,,
27,8701494053,241830728.1,2817700841,,,,,
28,12034975165,405760071.2,5026014960,,,,,
29,10115992199,847159463.4,3493158159,,,,,
30,8808864055,608126586.8,2757479392,,,,,
31,9552814432,489077284.3,2990537272,,,,,
32,11035080205,711564853.2,4093111823,,,,,
33,9174782075,687619330.3,3307287411,,,,,
34,8621099537,630736159.4,3074110610,,,,,
35,9272499969,351817592.7,2787927030,,,,,
36,10145057383,569457470.5,3390139672,,,,,
37,12689226494,1263142432,5831640373,,,,,
38,10615713475,833894914.6,4807910862,,,,,
39,10494111295,1053355651,4030983442,,,,,
40,12339746496,526488306.7,5435098416,,,,,
41,9800826599,543392685.8,3768412109,,,,,
42,8932176726,346346097.8,2857123193,,,,,
43,9882948283,439791468,3523170120,,,,,
44,14727355929,2151364771,7443205486,,,,,
45,11461812058,865564534.7,4026546198,,,,,
46,11325162083,1151316347,5434577378,,,,,
47,9807443064,803621546.7,3635485826,,,,,
48,10290960876,817956665.6,3569687165,,,,,
49,10031555916,586949458.2,3939377504,,,,,
50,9480586067,693602368.3,3052572174,,,,,
51,9624751277,670817220.5,3740162657,,,,,
52,9282259438,505175666.3,3662287714,,,,,
53,9515148883,189735356.6,2662707636,,,,,
54,9916015460,242344117.1,3088392518,,,,,
55,9247948719,1020809819,3276385483,,,,,
56,9807767656,304031499.8,2738478292,,,,,
57,8817349590,687688717.2,3106271967,,,,,
58,13023286105,527045409.8,5890863974,,,,,
59,9879010134,687230037.5,3566921293,,,,,
60,10062164859,624883457,3394838920,,,,,
61,8565331781,278256926.8,2638580665,,,,,
62,10816864895,736130953.3,3872835063,,,,,
63,9973352000,561855174.2,3570162993,,,,,
64,9089822469,448138412.5,2981244613,,,,,
65,10414580352,471581705,3955709424,,,,,
66,11478779958,1138764153,5820222909,,,,,
67,13091436958,1893553221,6336118584,,,,,
68,8544953927,422144573.6,2495215078,,,,,
69,8989812435,593500093.8,3503943275,,,,,
70,8511309827,561669243.9,2353432341,,,,,
71,12830201184,1634939151,5423510380,,,,,
72,8950737513,505846094.1,2638550467,,,,,
73,9986996518,375867201.3,3344290750,,,,,
74,10622866076,696465885.1,4488368297,,,,,
75,12207688297,916406267,5743976667,,,,,
76,9080448218,601563375.1,3366539677,,,,,
77,10088827026,546993610.5,3683443829,,,,,
78,12417749624,1138002473,6548392935,,,,,
79,7876487844,519874874.6,2861427781,,,,,
80,10769238875,587816517.3,4728684799,,,,,
81,12746719441,1370771204,5780588624,,,,,
82,8423364016,526651129.7,2624335478,,,,,
83,12035599940,1354755185,4299905458,,,,,
84,10224534476,782632323.4,4523856382,,,,,
85,10236654027,698006929.9,4084164668,,,,,
86,9826790786,1033093046,3554661923,,,,,
87,8896793906,592957244.4,2727673966,,,,,
88,9247708095,855646409.7,3203280786,,,,,
89,8400307883,481277303.1,2806200207,,,,,
90,12575326875,1958090493,5956703287,,,,,
91,8386756801,210751668.7,2443989054,,,,,
92,10562598972,566512335.3,4502379581,,,,,
93,9689754212,608145793.1,3365364363,,,,,
94,8215971989,407036024.4,3064988599,,,,,
95,8655375825,315732843.8,2873913703,,,,,
96,9585523448,487381797,3251878554,,,,,
97,9156451016,347796401.9,3222287467,,,,,
98,8924609045,499350025.4,2791560683,,,,,
99,9081990993,457457826.1,2830003951,,,,,
