,f0,f1,f2,,f0,f1,f2
0,1425241581,246274247.7,62536209.7,,2.405089529,0.927686294,0.524515458
1,900274235.6,719241521.1,1220959347,,,,
2,857573151.4,574667227.7,481286654.5,,,,
3,1688928120,640509930.1,587817070.3,,,,
4,3440164042,1324201552,919246771.3,,,,
5,4244589253,1356380407,152551366.2,,,,
6,1745245182,234881714.4,541000107.3,,,,
7,1475090233,260806649,97640040.88,,,,
8,1507825036,305078248.3,92057152.41,,,,
9,3419597161,938582136.8,410409150.8,,,,
10,3243788849,929324009.1,390399313.9,,,,
11,1513804165,316691057.9,68080578,,,,
12,3921688999,1373400191,636522888.5,,,,
13,1780531702,459481236.8,221296672.7,,,,
14,1626418759,399464220.8,81393075.73,,,,
15,1476485736,1108882458,847710707.9,,,,
16,3607879520,971182564.1,413645831.7,,,,
17,1421308538,264816213.2,95987236.54,,,,
18,1433641630,204381138,134286250.8,,,,
19,3946517061,2041716002,1176190258,,,,
20,548204881.8,597004590.4,574794024.7,,,,
21,2088334232,665999209.6,353651782.7,,,,
22,1360096282,203606607.6,15742273.76,,,,
23,1492590184,326129330.3,86044875.85,,,,
24,1480371504,234873622.2,93233969.6,,,,
25,2434991453,745696790.1,488551433,,,,
26,4423877213,1786898839,839875162.3,,,,
27,1022317691,686337269.3,412516013.3,,,,
28,1926048143,530340249.7,237908069.4,,,,
29,3218733531,779123362.6,263275737,,,,
30,3214194309,864861631.2,272446867.7,,,,
31,2117330457,618846423.9,264410888.8,,,,
32,4532491803,1838583183,763686630.7,,,,
33,1588991896,362668076.9,162976495.6,,,,
34,920408324.6,1350548535,1281391578,,,,
35,2599969025,919183556.1,713934134.1,,,,
36,608085565.5,1979066052,578116093.7,,,,
37,3299532566,1088265809,208988930.7,,,,
38,3177900406,753089119.6,494222440.4,,,,
39,383397670.3,777619774.4,585007029.2,,,,
40,3248699677,1300244275,967253399.9,,,,
41,2926566830,864814369.3,541152813,,,,
42,4014903954,1543707152,632122419.7,,,,
43,2024608077,516479518.9,318900054.5,,,,
44,431242015,1250098298,1249843302,,,,
45,3114175812,1172357558,743823811.2,,,,
46,4583099293,1952353274,918637388.7,,,,
47,2820774391,956445775.3,729756968.2,,,,
48,4324755134,1950741680,962805029.1,,,,
49,339314250.7,1565997142,1258872400,,,,
50,4876175030,2241816427,1212653066,,,,
51,1577969367,412247184,134625919,,,,
52,1502587347,207846282.6,61810236.69,,,,
53,4120856749,1506571242,413962064.2,,,,
54,1369802996,1725363903,1012942628,,,,
55,2025789382,583866434.1,207185825.6,,,,
56,2865509308,924438149.7,502409730.3,,,,
57,2338921707,750490452,655446029.3,,,,
58,2550211410,898620885.1,539229271,,,,
59,2449875602,627871064.2,692097453.9,,,,
60,4390916138,1813057069,1172234373,,,,
61,1648528949,387554761.7,136478883.6,,,,
62,1326501181,320260785.7,112042295.5,,,,
63,1845340396,516859446.9,187002703.5,,,,
64,2639015530,787178431.5,594349140.3,,,,
65,4098307310,1825016511,716330894.4,,,,
66,3261074136,759733611.4,422821591.4,,,,
67,4809590035,2150929358,1198086728,,,,
68,3152954043,1102794348,677362689.5,,,,
69,4609669901,1957431423,1082699333,,,,
70,1466156704,252794528.8,34744851.67,,,,
71,1490111910,416509996.1,94304300.07,,,,
72,3108415820,1040825793,719090531.3,,,,
73,2999284684,973467196.5,845916699.8,,,,
74,3950887565,1432920336,382710161.6,,,,
75,2338015449,629363099.1,432516754.5,,,,
76,2879014771,1390697832,938373293.9,,,,
77,1461820708,306012876.3,121282587.7,,,,
78,3584317950,1261514338,415711638.1,,,,
79,3403724493,1316222257,1014921192,,,,
80,1925799222,545454239.6,283972353.9,,,,
81,2140064175,577335047.8,322153410.7,,,,
82,2822839421,888980534.9,826374486.8,,,,
83,1410812218,294046635.3,108213874.1,,,,
84,989401096.1,998944313.4,350015032.7,,,,
85,1853388122,477499965.1,73741058.24,,,,
86,1650882252,343587210.9,122185506.2,,,,
87,5000024595,1863121480,693178520.2,,,,
88,763133592.7,1347653459,1203232923,,,,
89,3166313521,848132118.1,294988158.8,,,,
90,1551835666,295050480.9,134796013.5,,,,
91,2977037564,1053525762,768643986.9,,,,
92,1380800858,357737382,139998119,,,,
93,1104427392,2021600321,713463127.3,,,,
94,2594978217,657892103.8,626031399.1,,,,
95,1181933203,959615395.9,1253993668,,,,
96,4746228245,1668391215,715854573.6,,,,
97,1331035455,243741238.6,29773067.35,,,,
98,2490186465,897474127.7,513123524.6,,,,
99,343885572.4,1056626512,901511451.8,,,,
