,f0,f1,f2,,f0,f1,f2
0,1575716.156,641049.9285,833679.7501,,4.04510758,0.739693823,0.801762577
1,1151473.054,418355.2584,264821.8543,,,,
2,740789.9773,140032.8436,263448.0483,,,,
3,3941391.768,216858.2441,526115.3432,,,,
4,2424194.82,306642.4031,469333.6114,,,,
5,4748618.804,402726.6673,870002.8135,,,,
6,4686430.209,1150373.291,1017941.214,,,,
7,4701745.506,1455428.127,403582.455,,,,
8,3165602.377,948321.0692,461601.8283,,,,
9,2803765.812,393352.9733,673069.0448,,,,
10,5126294.213,834032.9703,592027.8784,,,,
11,3454719.668,887070.9877,509405.5043,,,,
12,4948328.694,329928.9843,1068928.541,,,,
13,3464025.252,163235.2453,961895.0434,,,,
14,3853950.371,1627172.997,1915868.361,,,,
15,4224235.637,568457.5499,1151467.245,,,,
16,4670543.331,1267207.035,712465.4746,,,,
17,3152093.696,444044.4306,648738.7367,,,,
18,3442961.234,236056.5039,601694.7436,,,,
19,4362561.976,806755.7807,1470228.3,,,,
20,4239834.027,815262.9388,977334.7935,,,,
21,5410118.445,1599983.596,944202.5543,,,,
22,3221613.07,636569.301,581119.3331,,,,
23,4002972.889,614805.9918,301169.386,,,,
24,3640562.241,654510.9311,868586.1227,,,,
25,3562747.34,284161.3775,507489.5483,,,,
26,4137230.735,658267.8624,802920.4248,,,,
27,3460254.375,503778.6742,591413.3793,,,,
28,5874933.762,2204368.023,1768399.867,,,,
29,3965708.073,755056.1114,923125.4591,,,,
30,4634135.902,938072.9668,730461.2543,,,,
31,3083291.603,255055.2424,93147.7482,,,,
32,4210822.342,922736.4665,271417.7292,,,,
33,5040964.301,1939004.217,1660245.064,,,,
34,4446489.504,496126.484,832419.5786,,,,
35,6508895.859,1311506.978,1781126.521,,,,
36,3740476.99,790550.9881,727658.2735,,,,
37,4542436.676,523851.9948,1037729.717,,,,
38,4480883.438,450888.6013,1846907.98,,,,
39,5764858.993,1510319.499,1539347.36,,,,
40,4803572.383,805831.7752,1659563.573,,,,
41,3748409.528,1039230.173,543162.0738,,,,
42,3238959.463,626597.8472,240093.9064,,,,
43,4807160.013,1067301.566,220747.9697,,,,
44,3385748.518,251473.1517,312246.7574,,,,
45,2672487.08,701657.0453,276858.3786,,,,
46,4291093.74,589968.6389,1446250.163,,,,
47,3523323.287,1133532.637,509278.2869,,,,
48,4304931.049,477098.4964,156399.565,,,,
49,4987614.067,702504.6692,2639207.944,,,,
50,5550696.106,372838.285,602142.209,,,,
51,4266007.943,456693.9555,782622.8384,,,,
52,2878542.836,132903.2527,469966.0289,,,,
53,3840925.423,553415.8222,131004.5255,,,,
54,6840424.093,1036183.664,1706032.393,,,,
55,5361396.517,1436338.211,533992.0247,,,,
56,3664414.405,674509.7639,990780.403,,,,
57,4512861.65,985153.8548,626244.6499,,,,
58,4080458.57,806348.3308,896088.8738,,,,
59,2951928.774,441061.9483,522791.0107,,,,
60,4055721.912,937213.0502,1215204.431,,,,
61,4770151.01,433847.8277,273750.5701,,,,
62,4463073.261,874820.4564,869744.9039,,,,
63,2621289.354,626097.5556,466417.9983,,,,
64,5068234.165,431494.4484,518659.7978,,,,
65,4552111.263,651978.4126,333721.079,,,,
66,3647918.146,791813.2291,822886.0003,,,,
67,4419330.656,868482.1606,773872.2349,,,,
68,3742609.508,693057.2506,80625.85743,,,,
69,4501184.463,573497.8166,1112604.291,,,,
70,4020940.179,1013591.314,357278.8198,,,,
71,4586924.987,600446.7806,1605125.219,,,,
72,3784447.122,1078215.307,865141.298,,,,
73,4355149.14,465051.9283,1407008.787,,,,
74,3857793.069,620334.5387,1065361.225,,,,
75,6012703.177,1221847.413,1559896.325,,,,
76,3742041.905,629767.9544,1469237.966,,,,
77,3432814.636,206864.9691,987567.846,,,,
78,3022978.535,1269463.977,628128.1219,,,,
79,3798173.899,455533.1304,356810.0224,,,,
80,4797580.044,369460.2229,882073.5837,,,,
81,4164209.429,619217.0051,621155.9156,,,,
82,4633495.79,607680.0679,999217.4543,,,,
83,2786142.493,827363.1224,906748.0063,,,,
84,3902118.175,771578.6333,527512.9134,,,,
85,5126221.22,251455.8756,817124.4831,,,,
86,4332024.275,1367122.938,363925.8177,,,,
87,3894936.034,957467.6754,1480429.61,,,,
88,3305053.513,159390.211,363973.2479,,,,
89,3992301.138,568619.0192,1202165.149,,,,
90,3772417.154,308382.9873,173601.3626,,,,
91,4637172.628,1039248.913,814507.5559,,,,
92,3549401.894,918568.1568,427939.736,,,,
93,4337758.009,1042603.576,758742.7981,,,,
94,2572497.905,413219.4303,384785.8451,,,,
95,3279151.878,193246.6874,143005.3778,,,,
96,5203190.677,1912943.779,555852.8968,,,,
97,3114239.673,114694.7584,257695.111,,,,
98,3185077.445,983433.336,675688.4446,,,,
99,5150549.68,707641.7786,1583058.125,,,,
